episode,total_reward,avg_reward_per_decision,epsilon
161,-619947.0,-3162.9949,0.6165
162,-485594.0,-2490.2256,0.6146
163,-709262.0,-3511.198,0.6128
164,-546989.0,-2776.5939,0.611
165,-593240.0,-3026.7347,0.6091
166,-1089455.0,-5420.1741,0.6073
167,-763356.0,-3855.3333,0.6055
168,-644946.0,-3240.9347,0.6037
169,-593086.0,-2980.3317,0.6018
170,-542615.0,-2826.1198,0.6
171,-549443.0,-2747.215,0.5982
172,-651372.0,-3273.2261,0.5964
173,-515796.0,-2578.98,0.5947
174,-515847.0,-2659.0052,0.5929
175,-592514.0,-2962.57,0.5911
176,-562411.0,-2716.9614,0.5893
177,-536480.0,-2655.8416,0.5875
178,-663515.0,-3420.1804,0.5858
179,-379721.0,-1852.2976,0.584
180,-649534.0,-3199.6749,0.5823
181,-572369.0,-2833.5099,0.5805
182,-563752.0,-2684.5333,0.5788
183,-514682.0,-2486.3865,0.5771
184,-506110.0,-2530.55,0.5753
185,-591030.0,-2970.0,0.5736
186,-592985.0,-2906.7892,0.5719
187,-608958.0,-2999.7931,0.5702
188,-552496.0,-2618.4645,0.5684
189,-777060.0,-3700.2857,0.5667
190,-722484.0,-3524.3122,0.565
191,-516467.0,-2544.1724,0.5633
192,-525011.0,-2651.5707,0.5617
193,-613942.0,-3164.6495,0.56
194,-523846.0,-2593.297,0.5583
195,-604347.0,-2905.5144,0.5566
196,-424496.0,-2199.4611,0.5549
197,-723887.0,-3565.9458,0.5533
198,-559531.0,-2602.4698,0.5516
199,-673752.0,-3223.6938,0.55
200,-1111537.0,-5267.9479,0.5483
201,-467782.0,-2315.7525,0.5467
202,-849302.0,-3987.3333,0.545
203,-483428.0,-2369.7451,0.5434
204,-578519.0,-2768.0335,0.5418
205,-649193.0,-3106.1866,0.5401
206,-528967.0,-2605.7488,0.5385
207,-626685.0,-3181.1421,0.5369
208,-754181.0,-3608.5215,0.5353
209,-522567.0,-2679.8308,0.5337
210,-534628.0,-2521.8302,0.5321
211,-665141.0,-3342.4171,0.5305
212,-565150.0,-2756.8293,0.5289
213,-782370.0,-3761.3942,0.5273
214,-569479.0,-2905.5051,0.5257
215,-471144.0,-2211.9437,0.5242
216,-495285.0,-2314.4159,0.5226
217,-510089.0,-2488.239,0.521
218,-515457.0,-2526.75,0.5195
219,-470527.0,-2219.467,0.5179
220,-597177.0,-2971.0299,0.5163
221,-567605.0,-2742.0531,0.5148
222,-509201.0,-2346.5484,0.5132
223,-788853.0,-3905.2129,0.5117
224,-428482.0,-1965.5138,0.5102
225,-533987.0,-2542.7952,0.5086
226,-522874.0,-2478.0758,0.5071
227,-562754.0,-2705.5481,0.5056
228,-834996.0,-3847.9078,0.5041
229,-624188.0,-2972.3238,0.5026
230,-505309.0,-2441.1063,0.5011
231,-546177.0,-2664.278,0.4996
232,-495425.0,-2477.125,0.4981
233,-421202.0,-1977.4742,0.4966
234,-742779.0,-3487.2254,0.4951
235,-478924.0,-2237.9626,0.4936
236,-479666.0,-2220.6759,0.4921
237,-616621.0,-2950.3397,0.4906
238,-602859.0,-2940.7756,0.4892
239,-504756.0,-2438.4348,0.4877
240,-548551.0,-2563.3224,0.4862
241,-725436.0,-3358.5,0.4848
242,-552897.0,-2697.0585,0.4833
243,-785279.0,-3704.1462,0.4819
244,-479666.0,-2339.8341,0.4804
245,-551000.0,-2649.0385,0.479
246,-567755.0,-2678.0896,0.4775
247,-571475.0,-2621.445,0.4761
248,-527223.0,-2452.2,0.4747
249,-550526.0,-2548.7315,0.4733
250,-458499.0,-2214.971,0.4718
251,-692131.0,-3204.3102,0.4704
252,-721360.0,-3418.7678,0.469
253,-432796.0,-2041.4906,0.4676
254,-836734.0,-3946.8585,0.4662
255,-592645.0,-2919.4335,0.4648
256,-817335.0,-3855.3538,0.4634
257,-491229.0,-2317.1179,0.462
258,-563172.0,-2631.6449,0.4606
259,-636819.0,-2907.8493,0.4592
260,-398822.0,-1812.8273,0.4579
261,-542002.0,-2398.2389,0.4565
262,-440584.0,-1940.8987,0.4551
263,-451979.0,-2082.8525,0.4538
264,-989056.0,-4755.0769,0.4524
265,-553009.0,-2502.3032,0.451
266,-486427.0,-2251.9769,0.4497
267,-585601.0,-2698.6221,0.4483
268,-450915.0,-2068.4174,0.447
269,-559642.0,-2520.9099,0.4457
270,-889195.0,-4116.6435,0.4443
271,-693268.0,-3054.0441,0.443
272,-584991.0,-2720.8884,0.4417
273,-481048.0,-2346.5756,0.4403
274,-648034.0,-3028.1963,0.439
275,-503101.0,-2177.9264,0.4377
276,-463948.0,-2296.7723,0.4364
277,-658445.0,-3105.8726,0.4351
278,-569285.0,-2736.9471,0.4338
279,-487921.0,-2187.9865,0.4325
280,-746856.0,-3379.4389,0.4312
281,-490913.0,-2231.4227,0.4299
282,-451694.0,-1946.9569,0.4286
283,-661401.0,-3006.3682,0.4273
284,-416034.0,-1891.0636,0.426
285,-557328.0,-2488.0714,0.4247
286,-433685.0,-1910.5066,0.4235
287,-699395.0,-3330.4524,0.4222
288,-530185.0,-2454.5602,0.4209
289,-549087.0,-2451.2812,0.4197
290,-638358.0,-2969.107,0.4184
291,-493375.0,-2212.4439,0.4171
292,-557804.0,-2446.5088,0.4159
293,-596516.0,-2748.9217,0.4146
294,-544196.0,-2473.6182,0.4134
295,-488830.0,-2305.8019,0.4122
296,-596423.0,-2650.7689,0.4109
297,-524728.0,-2418.1014,0.4097
298,-585853.0,-2627.1435,0.4085
299,-544564.0,-2568.6981,0.4072
300,-551289.0,-2505.8591,0.406
301,-470352.0,-2099.7857,0.4048
302,-811067.0,-3825.7877,0.4036
303,-461167.0,-2005.0739,0.4024
304,-784853.0,-3503.808,0.4012
305,-736568.0,-3273.6356,0.4
306,-660873.0,-3031.5275,0.3988
307,-568492.0,-2537.9107,0.3976
308,-541119.0,-2415.7098,0.3964
309,-718601.0,-3311.5253,0.3952
310,-542166.0,-2336.9224,0.394
311,-519910.0,-2363.2273,0.3928
312,-494592.0,-2169.2632,0.3916
313,-746824.0,-3379.2941,0.3905
314,-708584.0,-3280.4815,0.3893
315,-477626.0,-2094.8509,0.3881
316,-942589.0,-4170.7478,0.387
317,-482467.0,-2163.5291,0.3858
318,-739377.0,-3242.8816,0.3846
319,-415580.0,-1855.2679,0.3835
320,-613255.0,-2826.0599,0.3823
321,-440454.0,-1906.7273,0.3812
322,-420091.0,-1953.9116,0.3801
323,-557273.0,-2351.3629,0.3789
324,-558190.0,-2416.4069,0.3778
325,-560038.0,-2557.2511,0.3766
326,-400459.0,-1748.7293,0.3755
327,-518661.0,-2315.4509,0.3744
328,-480259.0,-2192.9635,0.3733
329,-835569.0,-3798.0409,0.3721
330,-440304.0,-2067.1549,0.371
331,-563033.0,-2559.2409,0.3699
332,-507201.0,-2195.6753,0.3688
333,-437237.0,-1969.536,0.3677
334,-847069.0,-3798.5157,0.3666
335,-508485.0,-2409.8815,0.3655
336,-374280.0,-1579.2405,0.3644
337,-463712.0,-2007.4113,0.3633
338,-516346.0,-2305.1161,0.3622
339,-628977.0,-2939.1449,0.3611
340,-537338.0,-2296.3162,0.36
341,-490788.0,-2171.6283,0.359
342,-464165.0,-2119.4749,0.3579
343,-546176.0,-2471.3846,0.3568
344,-455384.0,-2042.0807,0.3557
345,-624172.0,-2850.1005,0.3547
346,-531441.0,-2415.6409,0.3536
347,-643205.0,-2871.4509,0.3525
348,-520819.0,-2335.5112,0.3515
349,-568062.0,-2593.8904,0.3504
350,-543978.0,-2450.3514,0.3494
351,-529144.0,-2341.3451,0.3483
352,-424247.0,-1902.4529,0.3473
353,-461686.0,-2108.1553,0.3463
354,-515029.0,-2249.0349,0.3452
355,-517974.0,-2365.1781,0.3442
356,-644522.0,-2956.5229,0.3431
357,-671707.0,-2882.8627,0.3421
358,-628808.0,-2911.1481,0.3411
359,-627687.0,-2892.5668,0.3401
360,-507525.0,-2382.7465,0.339
361,-705806.0,-3345.0521,0.338
362,-494192.0,-2246.3273,0.337
363,-452912.0,-2058.6909,0.336
364,-429757.0,-1944.6018,0.335
