episode,total_reward,avg_reward_per_decision,epsilon
160,-610336.0,-7824.8205,0.6183
161,-1880871.0,-22661.0964,0.6165
162,-513889.0,-6045.7529,0.6146
163,-1702039.0,-20262.369,0.6128
164,-472665.0,-6059.8077,0.611
165,-369272.0,-4734.2564,0.6091
166,-731522.0,-8708.5952,0.6073
167,-679190.0,-8489.875,0.6055
168,-507127.0,-5829.046,0.6037
169,-596147.0,-7096.9881,0.6018
170,-438937.0,-5486.7125,0.6
171,-707125.0,-8222.3837,0.5982
172,-920419.0,-10957.369,0.5964
173,-561734.0,-6687.3095,0.5947
174,-749905.0,-9145.1829,0.5929
175,-1457314.0,-17558.0,0.5911
176,-638407.0,-7691.6506,0.5893
177,-525243.0,-6565.5375,0.5875
178,-795782.0,-9947.275,0.5858
179,-501923.0,-6047.2651,0.584
180,-456275.0,-5497.2892,0.5823
181,-1710710.0,-21383.875,0.5805
182,-849362.0,-10889.2564,0.5788
183,-467401.0,-5770.3827,0.5771
184,-976586.0,-10972.8764,0.5753
185,-454177.0,-5343.2588,0.5736
186,-400464.0,-4711.3412,0.5719
187,-590249.0,-7026.7738,0.5702
188,-349063.0,-3878.4778,0.5684
189,-1695313.0,-20929.7901,0.5667
190,-992585.0,-11958.8554,0.565
191,-376462.0,-4428.9647,0.5633
192,-635903.0,-6987.9451,0.5617
193,-436597.0,-5136.4353,0.56
194,-422561.0,-5487.8052,0.5583
195,-361621.0,-4356.8795,0.5566
196,-489647.0,-5899.3614,0.5549
197,-343097.0,-3943.6437,0.5533
198,-575434.0,-7473.1688,0.5516
199,-598709.0,-7213.3614,0.55
200,-527622.0,-5862.4667,0.5483
201,-497706.0,-5996.4578,0.5467
202,-397078.0,-4727.119,0.545
203,-1674405.0,-19246.0345,0.5434
204,-491549.0,-6068.5062,0.5418
205,-492759.0,-6237.4557,0.5401
206,-445705.0,-5007.9213,0.5385
207,-992486.0,-11407.8851,0.5369
208,-1110048.0,-13875.6,0.5353
209,-599704.0,-6379.8298,0.5337
210,-628725.0,-7396.7647,0.5321
211,-1337099.0,-16306.0854,0.5305
212,-619601.0,-6961.809,0.5289
213,-558268.0,-6726.1205,0.5273
214,-469914.0,-5464.1163,0.5257
215,-609324.0,-6846.3371,0.5242
216,-909645.0,-9996.0989,0.5226
217,-1923739.0,-23460.2317,0.521
218,-341069.0,-4109.2651,0.5195
219,-441450.0,-4798.3696,0.5179
220,-945757.0,-10997.1744,0.5163
221,-544354.0,-6329.6977,0.5148
222,-510095.0,-6297.4691,0.5132
223,-422928.0,-4861.2414,0.5117
224,-401200.0,-4457.7778,0.5102
225,-710759.0,-8667.7927,0.5086
226,-818832.0,-9748.0,0.5071
227,-343985.0,-3738.9674,0.5056
228,-477048.0,-5679.1429,0.5041
229,-831808.0,-9902.4762,0.5026
230,-402796.0,-4912.1463,0.5011
231,-1177889.0,-13234.7079,0.4996
232,-904449.0,-10516.8488,0.4981
233,-1279055.0,-15226.8452,0.4966
234,-754814.0,-9094.1446,0.4951
235,-302871.0,-3481.2759,0.4936
236,-457944.0,-5263.7241,0.4921
237,-1046640.0,-11501.5385,0.4906
238,-1786032.0,-19844.8,0.4892
239,-471336.0,-5891.7,0.4877
240,-358355.0,-3853.2796,0.4862
241,-1046377.0,-12456.869,0.4848
242,-395362.0,-4442.2697,0.4833
243,-783056.0,-8419.957,0.4819
244,-345289.0,-3968.8391,0.4804
245,-769818.0,-9744.5316,0.479
246,-367269.0,-4173.5114,0.4775
247,-1927076.0,-22941.381,0.4761
248,-551197.0,-6561.869,0.4747
249,-782638.0,-8995.8391,0.4733
250,-781543.0,-9416.1807,0.4718
251,-509704.0,-5601.1429,0.4704
252,-403074.0,-4798.5,0.469
253,-1603015.0,-17424.0761,0.4676
254,-855855.0,-9302.7717,0.4662
255,-415515.0,-5006.2048,0.4648
256,-821649.0,-9554.0581,0.4634
257,-1071531.0,-11775.0659,0.462
258,-674963.0,-7180.4574,0.4606
259,-580826.0,-6382.7033,0.4592
260,-1219276.0,-14014.6667,0.4579
261,-607822.0,-6986.4598,0.4565
262,-475282.0,-5340.2472,0.4551
263,-1006261.0,-11700.7093,0.4538
264,-410842.0,-4890.9762,0.4524
265,-482059.0,-5297.3516,0.451
266,-942114.0,-10467.9333,0.4497
267,-388258.0,-4462.7356,0.4483
268,-411059.0,-4779.7558,0.447
269,-753138.0,-7927.7684,0.4457
270,-588270.0,-7003.2143,0.4443
271,-601542.0,-6835.7045,0.443
272,-323748.0,-3407.8737,0.4417
273,-1101913.0,-12665.6667,0.4403
274,-925740.0,-10401.573,0.439
275,-527980.0,-5801.978,0.4377
276,-1087418.0,-11819.7609,0.4364
277,-474014.0,-4989.6211,0.4351
278,-505441.0,-5616.0111,0.4338
279,-653203.0,-7508.0805,0.4325
280,-387819.0,-4616.8929,0.4312
281,-801737.0,-8620.828,0.4299
282,-2615656.0,-29062.8444,0.4286
283,-1294403.0,-14709.125,0.4273
284,-606275.0,-6250.2577,0.426
285,-499237.0,-5255.1263,0.4247
286,-625304.0,-6652.1702,0.4235
287,-1303509.0,-14646.1685,0.4222
288,-427926.0,-4975.8837,0.4209
289,-732393.0,-8048.2747,0.4197
290,-384973.0,-4277.4778,0.4184
291,-568290.0,-6110.6452,0.4171
292,-467003.0,-5494.1529,0.4159
293,-1601029.0,-17989.0899,0.4146
294,-426623.0,-4637.2065,0.4134
295,-349999.0,-3888.8778,0.4122
296,-804666.0,-9466.6588,0.4109
297,-757296.0,-8142.9677,0.4097
298,-575714.0,-6326.5275,0.4085
299,-1635970.0,-18590.5682,0.4072
300,-968104.0,-9980.4536,0.406
301,-406406.0,-4781.2471,0.4048
302,-728013.0,-7828.0968,0.4036
303,-817479.0,-9083.1,0.4024
304,-586139.0,-5803.3564,0.4012
305,-407450.0,-4527.2222,0.4
306,-730870.0,-7775.2128,0.3988
307,-1725506.0,-19172.2889,0.3976
308,-698755.0,-7763.9444,0.3964
309,-673339.0,-7829.5233,0.3952
310,-417649.0,-4396.3053,0.394
311,-1054088.0,-10866.8866,0.3928
312,-889978.0,-9368.1895,0.3916
313,-810592.0,-8716.043,0.3905
314,-611619.0,-7195.5176,0.3893
315,-418848.0,-4455.8298,0.3881
316,-782220.0,-8691.3333,0.387
317,-453302.0,-4874.2151,0.3858
318,-385435.0,-4330.7303,0.3846
319,-752529.0,-7921.3579,0.3835
320,-655108.0,-7198.989,0.3823
321,-438447.0,-4520.0722,0.3812
322,-2878521.0,-29372.6633,0.3801
323,-537178.0,-6319.7412,0.3789
324,-1107410.0,-11535.5208,0.3778
325,-426628.0,-4740.3111,0.3766
326,-1073798.0,-12202.25,0.3755
327,-834510.0,-8515.4082,0.3744
328,-577376.0,-6077.6421,0.3733
329,-479707.0,-5214.2065,0.3721
330,-325669.0,-3428.0947,0.371
331,-1963184.0,-21109.5054,0.3699
332,-532656.0,-5727.4839,0.3688
333,-524939.0,-5584.4574,0.3677
334,-1200165.0,-13188.6264,0.3666
335,-553840.0,-6153.7778,0.3655
336,-593101.0,-6664.0562,0.3644
337,-465991.0,-5065.1196,0.3633
338,-420174.0,-4469.9362,0.3622
339,-967915.0,-10188.5789,0.3611
340,-304444.0,-3238.766,0.36
341,-1225005.0,-13764.1011,0.359
342,-498728.0,-5667.3636,0.3579
343,-742851.0,-7658.2577,0.3568
