episode,total_reward,avg_reward_per_decision,epsilon
161,-114974.0,-1249.7174,0.6165
162,-106192.0,-1117.8105,0.6146
163,-114818.0,-1400.2195,0.6128
164,-104536.0,-1229.8353,0.611
165,-118556.0,-1463.6543,0.6091
166,-92824.0,-998.1075,0.6073
167,-99636.0,-1059.9574,0.6055
168,-99490.0,-1130.5682,0.6037
169,-114226.0,-1283.4382,0.6018
170,-95572.0,-1038.8261,0.6
171,-96891.0,-1076.5667,0.5982
172,-107362.0,-1192.9111,0.5964
173,-92265.0,-941.4796,0.5947
174,-112898.0,-1282.9318,0.5929
175,-94036.0,-1033.3626,0.5911
176,-96932.0,-989.102,0.5893
177,-103056.0,-1145.0667,0.5875
178,-92466.0,-1050.75,0.5858
179,-102521.0,-1151.9213,0.584
180,-108826.0,-1133.6042,0.5823
181,-104728.0,-1102.4,0.5805
182,-99060.0,-1088.5714,0.5788
183,-84416.0,-888.5895,0.5771
184,-109885.0,-1194.4022,0.5753
185,-100065.0,-1053.3158,0.5736
186,-105306.0,-1132.3226,0.5719
187,-103806.0,-1116.1935,0.5702
188,-100878.0,-1133.4607,0.5684
189,-107299.0,-1094.8878,0.5667
190,-126363.0,-1419.809,0.565
191,-106807.0,-1148.4624,0.5633
192,-102965.0,-1119.1848,0.5617
193,-114001.0,-1280.9101,0.56
194,-106985.0,-1162.8804,0.5583
195,-97382.0,-1058.5,0.5566
196,-87481.0,-911.2604,0.5549
197,-97545.0,-1060.2717,0.5533
198,-95546.0,-995.2708,0.5516
199,-93232.0,-971.1667,0.55
200,-104925.0,-1128.2258,0.5483
201,-111288.0,-1236.5333,0.5467
202,-110888.0,-1155.0833,0.545
203,-100722.0,-1131.7079,0.5434
204,-97504.0,-1108.0,0.5418
205,-87968.0,-925.9789,0.5401
206,-115939.0,-1207.6979,0.5385
207,-101765.0,-1106.1413,0.5369
208,-109105.0,-1148.4737,0.5353
209,-103370.0,-1088.1053,0.5337
210,-109411.0,-1215.6778,0.5321
211,-84769.0,-831.0686,0.5305
212,-99647.0,-1095.022,0.5289
213,-92075.0,-939.5408,0.5273
214,-98013.0,-1031.7158,0.5257
215,-95134.0,-990.9792,0.5242
216,-104448.0,-1076.7835,0.5226
217,-87921.0,-945.3871,0.521
218,-104182.0,-1074.0412,0.5195
219,-109075.0,-1124.4845,0.5179
220,-102394.0,-1089.2979,0.5163
221,-92389.0,-933.2222,0.5148
222,-122486.0,-1317.0538,0.5132
223,-105631.0,-1135.8172,0.5117
224,-101439.0,-1035.0918,0.5102
225,-100512.0,-1129.3483,0.5086
226,-87236.0,-890.1633,0.5071
227,-99006.0,-1100.0667,0.5056
228,-112076.0,-1179.7474,0.5041
229,-97769.0,-997.6429,0.5026
230,-102105.0,-1041.8878,0.5011
231,-97769.0,-1018.4271,0.4996
232,-96993.0,-979.7273,0.4981
233,-104167.0,-1031.3564,0.4966
234,-114945.0,-1209.9474,0.4951
235,-102006.0,-1146.1348,0.4936
236,-95945.0,-1031.6667,0.4921
237,-105449.0,-1087.1031,0.4906
238,-94099.0,-1022.8152,0.4892
239,-110183.0,-1184.7634,0.4877
240,-97601.0,-966.3465,0.4862
241,-91697.0,-945.3299,0.4848
242,-93132.0,-990.766,0.4833
243,-108936.0,-1146.6947,0.4819
244,-105891.0,-1114.6421,0.4804
245,-110076.0,-1250.8636,0.479
246,-84648.0,-855.0303,0.4775
247,-95224.0,-1002.3579,0.4761
248,-80978.0,-793.902,0.4747
249,-93592.0,-955.0204,0.4733
250,-97054.0,-970.54,0.4718
251,-106504.0,-1097.9794,0.4704
252,-106393.0,-1131.8404,0.469
253,-89573.0,-878.1667,0.4676
254,-95875.0,-998.6979,0.4662
255,-94678.0,-976.0619,0.4648
256,-96428.0,-927.1923,0.4634
257,-93639.0,-965.3505,0.462
258,-108561.0,-1033.9143,0.4606
259,-98245.0,-1045.1596,0.4592
260,-107327.0,-1117.9896,0.4579
261,-100838.0,-1008.38,0.4565
262,-113063.0,-1165.5979,0.4551
263,-108630.0,-1097.2727,0.4538
264,-91760.0,-1054.7126,0.4524
265,-101755.0,-1007.4752,0.451
266,-99806.0,-1061.766,0.4497
267,-88309.0,-892.0101,0.4483
268,-94739.0,-928.8137,0.447
269,-117121.0,-1301.3444,0.4457
270,-112353.0,-1182.6632,0.4443
