episode,total_reward,avg_reward_per_decision,epsilon
162,-90995.0,-1045.9195,0.6146
163,-100661.0,-1184.2471,0.6128
164,-116603.0,-1240.4574,0.611
165,-88730.0,-985.8889,0.6091
166,-107474.0,-1310.6585,0.6073
167,-101859.0,-1198.3412,0.6055
168,-91284.0,-1061.4419,0.6037
169,-102276.0,-1099.7419,0.6018
170,-87597.0,-962.6044,0.6
171,-93746.0,-1077.5402,0.5982
172,-119271.0,-1255.4842,0.5964
173,-109007.0,-1224.7978,0.5947
174,-100407.0,-1154.1034,0.5929
175,-99237.0,-1127.6932,0.5911
176,-89554.0,-1041.3256,0.5893
177,-116776.0,-1357.8605,0.5875
178,-98644.0,-1060.6882,0.5858
179,-101151.0,-1190.0118,0.584
180,-80779.0,-1035.6282,0.5823
181,-103467.0,-1124.6413,0.5805
182,-104868.0,-1165.2,0.5788
183,-102641.0,-1193.5,0.5771
184,-99361.0,-1211.7195,0.5753
185,-117377.0,-1349.1609,0.5736
186,-99581.0,-1048.2211,0.5719
187,-96970.0,-1182.561,0.5702
188,-96696.0,-1062.5934,0.5684
189,-93111.0,-1149.5185,0.5667
190,-95781.0,-1008.2211,0.565
191,-107731.0,-1313.7927,0.5633
192,-90632.0,-924.8163,0.5617
193,-106762.0,-1227.1494,0.56
194,-100481.0,-1092.1848,0.5583
195,-105278.0,-1253.3095,0.5566
196,-104974.0,-1192.8864,0.5549
197,-95456.0,-1084.7273,0.5533
198,-91658.0,-1007.2308,0.5516
199,-99715.0,-1072.2043,0.55
200,-123629.0,-1343.7935,0.5483
201,-112154.0,-1351.253,0.5467
202,-99498.0,-1105.5333,0.545
203,-112138.0,-1401.725,0.5434
204,-83468.0,-897.5054,0.5418
205,-88042.0,-936.617,0.5401
206,-99648.0,-1107.2,0.5385
207,-100779.0,-1107.4615,0.5369
208,-94382.0,-1110.3765,0.5353
209,-106857.0,-1257.1412,0.5337
210,-88561.0,-1041.8941,0.5321
211,-84656.0,-984.3721,0.5305
212,-98578.0,-1107.618,0.5289
213,-88062.0,-926.9684,0.5273
214,-113375.0,-1303.1609,0.5257
215,-96957.0,-1168.1566,0.5242
216,-96282.0,-1146.2143,0.5226
217,-115454.0,-1215.3053,0.521
218,-106141.0,-1206.1477,0.5195
219,-86227.0,-937.25,0.5179
220,-96099.0,-990.7113,0.5163
221,-87210.0,-1038.2143,0.5148
222,-86832.0,-886.0408,0.5132
223,-104902.0,-1205.7701,0.5117
224,-90362.0,-1026.8409,0.5102
225,-110036.0,-1264.7816,0.5086
226,-84895.0,-964.7159,0.5071
227,-106927.0,-1229.046,0.5056
228,-101282.0,-1100.8913,0.5041
229,-85542.0,-910.0213,0.5026
230,-91873.0,-967.0842,0.5011
231,-107127.0,-1306.4268,0.4996
232,-90672.0,-996.3956,0.4981
233,-105402.0,-1317.525,0.4966
234,-96355.0,-1094.9432,0.4951
235,-85522.0,-919.5914,0.4936
236,-91911.0,-967.4842,0.4921
237,-85079.0,-934.9341,0.4906
238,-82555.0,-887.6882,0.4892
239,-91950.0,-999.4565,0.4877
240,-93670.0,-1018.1522,0.4862
241,-99266.0,-1154.2558,0.4848
242,-97046.0,-1000.4742,0.4833
243,-100032.0,-1111.4667,0.4819
244,-91357.0,-971.883,0.4804
245,-81229.0,-837.4124,0.479
246,-101899.0,-1198.8118,0.4775
247,-132760.0,-1508.6364,0.4761
248,-103550.0,-1163.4831,0.4747
249,-100353.0,-1194.6786,0.4733
250,-92484.0,-1050.9545,0.4718
251,-99930.0,-1135.5682,0.4704
252,-110545.0,-1285.407,0.469
253,-98737.0,-1028.5104,0.4676
254,-104292.0,-1109.4894,0.4662
255,-84153.0,-876.5938,0.4648
256,-93913.0,-1009.8172,0.4634
257,-78363.0,-807.866,0.462
258,-105311.0,-1157.2637,0.4606
259,-102582.0,-1091.2979,0.4592
260,-91713.0,-935.8469,0.4579
261,-86635.0,-952.033,0.4565
262,-109650.0,-1260.3448,0.4551
263,-99087.0,-1011.0918,0.4538
264,-81457.0,-839.7629,0.4524
265,-98897.0,-1063.4086,0.451
266,-92821.0,-998.0753,0.4497
267,-94864.0,-1065.8876,0.4483
268,-95515.0,-1073.2022,0.447
269,-88508.0,-931.6632,0.4457
270,-81354.0,-894.0,0.4443
271,-110878.0,-1143.0722,0.443
272,-135526.0,-1505.8444,0.4417
273,-116178.0,-1262.8043,0.4403
274,-102905.0,-1071.9271,0.439
275,-91424.0,-1015.8222,0.4377
276,-78844.0,-796.404,0.4364
277,-87884.0,-976.4889,0.4351
278,-93012.0,-1107.2857,0.4338
279,-97423.0,-1107.0795,0.4325
280,-80751.0,-850.0105,0.4312
281,-97491.0,-1160.6071,0.4299
282,-90318.0,-1075.2143,0.4286
283,-87554.0,-941.4409,0.4273
284,-101399.0,-1078.7128,0.426
285,-98830.0,-1018.866,0.4247
286,-88855.0,-1021.3218,0.4235
287,-81732.0,-825.5758,0.4222
288,-103423.0,-1216.7412,0.4209
289,-83737.0,-797.4952,0.4197
290,-114158.0,-1297.25,0.4184
291,-98176.0,-981.76,0.4171
292,-89861.0,-898.61,0.4159
293,-100104.0,-1164.0,0.4146
294,-90991.0,-1022.3708,0.4134
295,-94186.0,-961.0816,0.4122
296,-84458.0,-861.8163,0.4109
297,-94795.0,-1053.2778,0.4097
298,-105013.0,-1129.172,0.4085
299,-93730.0,-1007.8495,0.4072
300,-89201.0,-1002.2584,0.406
301,-92013.0,-893.3301,0.4048
302,-82711.0,-879.9043,0.4036
303,-80930.0,-809.3,0.4024
304,-89340.0,-875.8824,0.4012
305,-101381.0,-1090.1183,0.4
306,-116382.0,-1353.2791,0.3988
307,-91586.0,-1064.9535,0.3976
308,-109754.0,-1108.6263,0.3964
309,-86027.0,-945.3516,0.3952
310,-97797.0,-1040.3936,0.394
311,-99272.0,-1002.7475,0.3928
312,-90176.0,-959.3191,0.3916
313,-96559.0,-1049.5543,0.3905
314,-91317.0,-1049.6207,0.3893
315,-86183.0,-805.4486,0.3881
316,-99709.0,-1027.9278,0.387
317,-99824.0,-1008.3232,0.3858
318,-86483.0,-950.3626,0.3846
319,-109455.0,-1216.1667,0.3835
320,-112808.0,-1281.9091,0.3823
321,-93449.0,-916.1667,0.3812
322,-85722.0,-793.7222,0.3801
323,-117738.0,-1226.4375,0.3789
324,-94037.0,-1044.8556,0.3778
325,-84093.0,-785.9159,0.3766
326,-105342.0,-1132.7097,0.3755
