episode,total_reward,avg_reward_per_decision,epsilon
161,-618873.0,-3173.7077,0.6165
162,-480831.0,-2334.1311,0.6146
163,-536199.0,-2577.8798,0.6128
164,-768270.0,-3899.8477,0.611
165,-450270.0,-2104.0654,0.6091
166,-525872.0,-2642.5729,0.6073
167,-927134.0,-4730.2755,0.6055
168,-771146.0,-3817.5545,0.6037
169,-573600.0,-2926.5306,0.6018
170,-630364.0,-3120.6139,0.6
171,-693601.0,-3468.005,0.5982
172,-583178.0,-2737.9249,0.5964
173,-548566.0,-2742.83,0.5947
174,-515673.0,-2604.4091,0.5929
175,-567372.0,-2909.6,0.5911
176,-630720.0,-3201.6244,0.5893
177,-557360.0,-2772.9353,0.5875
178,-502256.0,-2615.9167,0.5858
179,-526302.0,-2726.9534,0.584
180,-408480.0,-2105.567,0.5823
181,-537937.0,-2649.936,0.5805
182,-692618.0,-3515.8274,0.5788
183,-533765.0,-2616.4951,0.5771
184,-567002.0,-2892.8673,0.5753
185,-588782.0,-2943.91,0.5736
186,-805232.0,-3947.2157,0.5719
187,-546217.0,-2717.4975,0.5702
188,-648110.0,-3289.8985,0.5684
189,-596814.0,-2855.5694,0.5667
190,-588179.0,-2911.7772,0.565
191,-415255.0,-2025.6341,0.5633
192,-623061.0,-3084.4604,0.5617
193,-755093.0,-3794.4372,0.56
194,-1133686.0,-5612.3069,0.5583
195,-529573.0,-2364.1652,0.5566
196,-591851.0,-2845.4375,0.5549
197,-588661.0,-2843.7729,0.5533
198,-561238.0,-2685.3493,0.5516
199,-612376.0,-2902.2559,0.55
200,-437326.0,-2122.9417,0.5483
201,-558591.0,-2685.5337,0.5467
202,-461795.0,-2252.6585,0.545
203,-588230.0,-2787.8199,0.5434
204,-501174.0,-2320.25,0.5418
205,-507661.0,-2452.4686,0.5401
206,-510077.0,-2383.5374,0.5385
207,-486942.0,-2352.3768,0.5369
208,-571003.0,-2855.015,0.5353
209,-665949.0,-3397.699,0.5337
210,-807600.0,-3978.3251,0.5321
211,-425385.0,-2025.6429,0.5305
212,-479171.0,-2432.3401,0.5289
213,-909966.0,-4460.6176,0.5273
214,-500291.0,-2489.01,0.5257
215,-717999.0,-3519.6029,0.5242
216,-489343.0,-2297.385,0.5226
217,-847011.0,-4235.055,0.521
218,-463986.0,-2188.6132,0.5195
